Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_length_0,arm_length_1,arm_length_2
0,0.577,0,0,-0.289,0.5,0,-0.289,-0.5,0,0,0,0,1,1,1
0.1,0.658897,1.38778e-18,0,-0.321146,0.4995,0,-0.321146,-0.4995,0,4.17642,4.17642,-0.776037,1.09899,1.09899,0.999
0.2,0.737475,1.33227e-18,0,-0.353628,0.4995,0,-0.353628,-0.4995,0,3.76475,3.76475,-0.683158,1.199,1.199,0.999
0.3,0.738507,-0.0533946,0,-0.419093,0.538214,0,-0.28673,-0.452068,0,-6.15928,5.80744,-0.999415,1.10102,1.29901,0.999087
0.4,0.741508,-0.108249,0,-0.484325,0.56806,0,-0.216673,-0.394609,0,-7.09769,6.33824,-2.27603,1.00106,1.39902,0.999183
0.5,0.764225,-0.130684,0,-0.530777,0.626314,0,-0.192194,-0.419434,0,-0.618484,3.15085,3.71397,0.999057,1.49903,1.09819
0.6,0.746349,-0.119694,0,-0.529816,0.668656,0,-0.185488,-0.480044,0,0.553058,-1.54249,5.04166,0.999085,1.50003,1.1982
0.7,0.725699,-0.110196,0,-0.529297,0.711443,0,-0.176717,-0.538998,0,0.264816,-1.46468,4.79458,0.999113,1.50004,1.2982
0.8,0.702255,-0.102145,0,-0.528994,0.75468,0,-0.165958,-0.596601,0,0.000116999,-1.44614,4.63502,0.99914,1.50004,1.3982
0.9,0.628022,-0.0636775,0,-0.487192,0.782755,0,-0.158527,-0.679987,0,-0.519361,-6.07423,5.99063,0.999247,1.40105,1.49821
1,0.578472,-0.031906,0,-0.447024,0.767156,0,-0.159821,-0.705313,0,-0.25731,-4.78889,1.46333,0.999276,1.30105,1.50022
1.1,0.547832,-0.00163772,0,-0.407909,0.724099,0,-0.168501,-0.698366,0,0.201217,-4.13601,-1.28283,0.999282,1.20106,1.44305
1.2,0.517252,0.0281134,0,-0.36854,0.680415,0,-0.176663,-0.690953,0,0.192722,-4.39308,-1.39512,0.999287,1.10106,1.3853
1.3,0.501799,0.0583288,0,-0.329112,0.614856,0,-0.190422,-0.662368,0,0.729483,-4.29126,-3.66732,0.999287,1.00107,1.28573
1.4,0.534361,0.0621757,0,-0.329364,0.564327,0,-0.201874,-0.613525,0,0.841323,0.84063,-4.82111,0.999307,0.999088,1.18573
1.5,0.602929,0.100806,0,-0.316534,0.491855,0,-0.251478,-0.590938,0,5.69842,-0.0587323,-5.72943,1.09833,0.999164,1.08574
1.6,0.660626,0.139966,0,-0.297764,0.422733,0,-0.300796,-0.577028,0,4.80845,-0.869584,-0.871229,1.19834,0.999234,0.999765
1.7,0.696956,0.174903,0,-0.277605,0.395676,0,-0.344638,-0.60186,0,4.77257,-1.13901,-1.14039,1.29834,0.999254,0.999786
1.8,0.732251,0.211228,0,-0.255059,0.36542,0,-0.389513,-0.625308,0,4.85475,-1.48243,-1.48359,1.39834,0.999277,0.999809
1.9,0.752071,0.236366,0,-0.234766,0.393556,0,-0.427445,-0.689252,0,3.15255,-0.618777,3.71347,1.49834,0.999278,1.09882
2,0.736191,0.223444,0,-0.236113,0.454173,0,-0.421188,-0.731287,0,-1.542,0.551754,5.03995,1.50035,0.999306,1.19882
2.1,0.717015,0.211232,0,-0.235424,0.513768,0,-0.414861,-0.77361,0,-1.46446,0.263725,4.79339,1.50035,0.999334,1.29882
2.2,0.694873,0.200073,0,-0.232582,0.572295,0,-0.408685,-0.816407,0,-1.44611,-0.000840077,4.63421,1.50036,0.999361,1.39882
2.3,0.626542,0.151877,0,-0.236527,0.655911,0,-0.363459,-0.838544,0,-6.07431,-0.52091,5.99057,1.40137,0.999468,1.49884
2.4,0.581762,0.113666,0,-0.241238,0.680823,0,-0.325785,-0.817636,0,-4.78868,-0.258029,1.46384,1.30137,0.999497,1.50084
2.5,0.535122,0.0765794,0,-0.243368,0.70348,0,-0.288466,-0.79669,0,-5.03284,-0.545224,1.5399,1.20137,0.999525,1.50085
2.6,0.486023,0.040455,0,-0.242822,0.724482,0,-0.251311,-0.776346,0,-5.39649,-0.878348,1.69171,1.10138,0.999553,1.50085
2.7,0.476242,0.0071583,0,-0.25052,0.693397,0,-0.224078,-0.707209,0,-4.124,0.68441,-3.36303,1.00138,0.999554,1.40186
2.8,0.513582,0.00754076,0,-0.257634,0.643449,0,-0.232727,-0.657169,0,1.15022,1.15066,-4.77341,0.999407,0.999576,1.30186
2.9,0.547411,0.00818387,0,-0.263013,0.59334,0,-0.240016,-0.607296,0,0.878661,0.87918,-4.8053,0.999428,0.999597,1.20186
3,0.577757,0.00875995,0,-0.266957,0.543258,0,-0.24587,-0.557396,0,0.655698,0.656323,-4.94933,0.999447,0.999616,1.10186
3.1,0.686472,0.0108256,0,-0.302064,0.492586,0,-0.282886,-0.508086,0,4.57588,4.57626,-5.99054,1.09851,1.09868,1.00186
